tenure,monthly_charges,support_calls,contract_type,churn
28,99.65372909761763,9,1,1
26,68.15223515125501,8,0,0
26,31.730818896239448,5,1,0
23,32.51857922025504,4,0,1
9,88.55652872289714,2,1,0
12,63.030589489946266,8,0,1
1,40.05247267003367,4,1,1
1,69.15945467414369,4,1,0
34,26.420893707513407,3,1,0
32,78.19714019143987,3,0,0
25,46.899340443509764,0,0,0
1,99.75591006371882,6,1,1
16,51.03619589235738,8,1,0
5,65.52201490818013,2,0,0
22,21.162053990810065,1,0,0
29,27.24468877945589,2,0,1
3,59.24935564066848,0,0,0
12,67.99388347171235,5,0,0
26,80.00205481193038,6,0,1
16,49.16625787093032,1,1,0
22,89.49818861265426,7,0,1
29,106.01223971892045,5,1,0
14,97.98509888933498,3,0,1
28,23.961882534835716,4,0,0
5,68.05069472578289,7,1,1
30,30.493017841817487,2,1,0
5,44.204501586252746,2,0,0
12,118.66625932671465,3,1,0
16,34.24955429015132,0,1,0
26,69.88881534513561,8,1,1
26,81.81557343181191,7,1,1
21,90.2464970544104,7,0,1
33,75.96486834869141,9,1,1
30,20.977084741918365,5,0,0
23,52.64613082439919,6,0,0
10,71.77116433847114,5,0,1
5,28.786649914483334,8,0,1
34,55.06269312091808,2,1,0
31,23.320310879136656,2,1,0
10,27.857849715502073,2,0,0
19,59.69232762015961,9,0,1
32,33.271575404306034,2,0,0
1,76.75408482615582,8,0,1
5,88.94649691372658,3,1,0
4,100.05866991090829,6,0,1
16,40.01502442448101,8,1,0
24,36.74825822590697,6,0,0
16,30.456784033440027,8,0,1
2,83.64302495436367,2,0,0
28,90.64757264869012,3,0,0
32,23.158614482564204,7,1,0
27,113.62122462436898,5,1,0
20,25.19712836514724,4,1,0
24,74.12963353010704,3,0,0
12,90.90605194509165,7,0,0
35,107.09691237460856,0,1,0
33,91.40869321324278,8,1,0
33,100.17280830697918,0,0,0
12,53.94501925428061,7,0,0
3,101.48251137465122,3,1,1
1,28.011484638467515,8,0,1
33,109.48166560605276,4,0,0
10,74.75923761537362,2,1,0
29,101.72977699624937,8,0,0
13,65.23182845183001,8,1,1
12,84.35776951965249,3,0,0
31,72.64026609361132,3,1,0
2,93.15895217553319,7,0,1
35,28.162998203058958,1,1,0
23,26.03520839905638,8,1,0
17,44.71032340101465,5,1,0
26,35.95446801131884,8,1,0
8,107.17835665922017,7,0,1
29,41.92139873580443,6,0,0
26,117.58652558191314,0,1,0
10,53.68957917711069,2,0,0
26,38.21179156886993,1,0,0
34,98.96985071424791,4,0,0
7,85.87077755008761,4,0,1
4,69.8195716453139,4,0,0
11,75.53635509376312,3,1,1
29,91.92017782722638,4,1,0
25,42.84547413312987,2,1,0
21,119.63339160567419,0,1,0
10,117.4793162146783,4,0,1
9,85.03256863469369,8,0,1
24,39.95424509291451,8,1,0
35,88.02282424312914,3,0,0
35,27.219840897917585,2,0,0
18,23.065250220580605,0,1,0
32,45.76828885112137,1,0,0
24,66.26229567393163,7,1,1
23,106.82725054083805,0,1,0
32,92.7169069766308,7,0,1
12,94.2706521199981,6,0,1
13,62.54933344480754,7,1,1
23,54.59349925469629,5,1,0
25,57.10387629846027,8,0,0
35,118.76495637360578,2,1,0
30,24.010919141248248,9,1,0
17,106.70314961224486,3,1,0
20,77.86754085723935,5,0,0
25,63.86154191895905,7,1,1
22,92.52576604151365,4,0,0
13,68.66689414247028,2,1,0
19,107.34232380816606,5,0,1
12,110.07018640112585,3,1,0
19,62.17209268734554,8,0,1
12,47.682779723505156,2,0,0
9,79.23503285933623,3,0,0
7,111.2363345616691,6,1,1
28,41.06621890056666,6,1,0
14,82.29665835634827,3,1,0
31,83.15602200925206,5,0,0
19,93.3113022415281,2,1,0
16,33.15676851272598,5,0,1
5,91.58249646820886,1,1,0
35,110.9032520665641,7,0,1
12,37.968310887024195,1,0,0
25,43.75433249238776,6,0,0
21,117.13950940416396,8,1,1
23,38.097695270948975,0,1,0
16,105.4385093369579,7,1,1
14,69.22778564480348,6,0,1
31,44.723107440317705,5,0,0
5,107.07499012725114,5,1,0
35,64.53052550026655,5,1,0
23,71.48173539296901,8,1,0
29,55.92333693997657,1,0,0
11,79.29508514349274,0,0,0
18,36.352387258502276,5,0,1
12,59.10815366517607,9,0,1
9,116.94123223352875,7,0,1
10,45.81334327011275,2,1,0
17,85.67366645412922,9,0,1
7,52.51900642246949,0,0,0
13,97.34731256866006,8,0,1
9,33.087366071834985,0,0,0
27,116.98210450785447,2,0,1
2,65.37895413836392,7,1,1
5,43.605046334646396,2,0,0
29,27.349674733001265,3,0,0
19,36.97579050875407,7,0,1
8,71.97739485560177,0,1,0
1,53.70031764312863,5,1,0
22,102.88833658826094,0,1,0
17,63.08875236618059,0,0,0
7,44.87142725876299,7,1,1
25,81.71449866040301,3,0,0
4,90.67772168854458,0,0,0
6,36.704190790094984,9,1,1
31,36.761921628831765,6,0,1
19,23.667142693354297,4,0,0
27,93.64020150656405,4,0,0
10,86.38045276218051,0,1,0
26,67.46308757498139,9,0,1
19,104.41704489691972,5,0,1
3,100.56701529500532,8,1,1
13,78.53543643967521,8,0,1
28,106.82712805132586,7,0,1
20,40.58412100367683,4,1,0
28,31.19196193977279,0,0,0
8,46.97496115169896,8,0,1
1,25.708685608931486,0,0,0
3,73.1169528001032,7,0,1
13,113.66056922949615,4,0,1
28,23.934354066850965,2,1,0
25,32.21099140100268,6,1,0
33,65.21990282834352,6,1,0
6,113.38750175279048,8,1,1
32,51.61561049767505,6,0,0
21,70.72348086883925,2,0,0
16,24.15728590503921,0,0,0
21,34.834320096208884,7,0,1
11,118.66301229588468,2,0,0
35,116.51186964360456,7,1,1
19,20.49399809344096,7,1,1
20,115.18117854232389,4,0,1
18,83.91199378155004,0,0,0
14,106.79182945200222,9,0,1
15,65.47398556338591,6,1,0
31,71.55960285792503,9,0,1
1,68.88465802569202,4,0,0
3,86.68642575461044,7,0,0
16,33.96512547563129,8,1,1
23,22.997358987267795,6,0,1
11,50.79299415911909,6,1,1
12,90.46807627366466,0,1,0
10,40.185345212294834,3,1,0
32,87.34324333249174,1,1,0
16,116.99120461072704,1,1,0
8,29.39007157894184,1,1,0
12,87.26021182251263,3,0,0
24,64.37502193045711,0,0,0
28,106.81422543775054,3,0,1
8,37.71497894473859,1,1,0
28,89.26259522261645,4,0,0
26,103.81152896481102,2,1,0
8,114.46142194740233,7,1,1
28,88.32480282896458,3,1,0
28,69.71747640084273,0,0,0
27,81.78472402012139,0,1,0
17,106.89049844787182,9,1,0
9,77.06097466388297,2,0,0
33,23.038705969683686,8,0,0
20,113.09486955069778,6,1,0
13,88.95267510315611,1,1,0
28,87.65133857772466,8,0,1
29,41.567515239771716,9,0,0
13,85.88854702326572,1,0,0
35,59.386440565415846,2,1,0
6,85.12329770414921,9,0,1
18,30.659303030799073,1,0,0
5,85.7845304603036,2,0,1
25,119.94137257706666,5,1,0
2,24.821203886055603,8,0,1
10,117.71741842213173,8,0,1
30,60.690796072287064,6,0,0
5,107.07534503372591,2,0,0
33,98.23854840582734,3,0,0
1,76.70162609866678,5,1,1
18,93.84492092513266,4,1,0
32,107.8515561301348,1,1,0
11,60.4140321651033,5,0,0
21,52.70331615632387,2,1,0
26,86.75933855635847,7,1,1
25,100.78459419412586,1,1,0
22,96.22851347766158,0,0,0
27,99.78136488586345,8,0,1
13,63.5583314812933,2,1,0
33,101.78342161750216,0,1,0
34,32.02090553706084,6,0,1
35,74.44890979608495,9,0,1
1,20.575866049812156,4,1,1
21,52.45858299002703,4,0,0
6,56.646153487139784,0,1,0
28,59.61726916092554,8,0,0
17,89.54672066898621,6,1,0
5,58.85581012703457,7,1,0
31,64.86936226225306,8,0,1
5,43.754413087432745,5,1,0
3,57.325179162934006,4,1,0
23,42.72696272631515,5,1,1
10,27.319592376844362,1,0,0
10,80.3448593381378,3,0,0
19,86.82127985550163,2,0,1
17,81.94903460096145,6,1,1
21,66.34940438005724,8,0,1
14,57.978578017922985,4,1,1
9,106.33336495718252,5,1,0
1,71.9081785136218,9,0,1
13,67.91818776297309,1,0,0
4,22.564206580643567,2,1,0
1,54.12478276261564,2,1,0
32,58.019561878585705,8,0,1
34,59.88227808969005,6,0,0
28,78.01723692273323,7,0,1
31,73.36025467268784,9,1,0
8,80.79050927934446,8,1,0
26,96.48832615421283,5,1,0
34,101.29857387160935,3,1,0
3,91.81230762264944,0,1,0
12,115.55236959549347,7,0,1
1,21.823258267636163,6,0,0
5,39.57779856835461,1,1,1
30,20.756287497814213,7,1,0
30,84.7474714154603,4,0,1
17,109.8030548949987,6,0,1
23,44.34822965762993,3,0,1
15,112.70345447963066,4,0,1
21,26.026739028956086,7,1,0
14,113.44360268055144,0,0,0
2,55.16226872396344,0,1,0
11,30.142082844921653,3,0,0
34,68.58717591863257,2,0,0
34,45.677656772050796,9,0,0
18,48.48729019619228,1,1,0
30,50.72899649262866,2,1,0
15,100.30258978326634,0,0,1
27,73.91612766752544,0,1,0
34,51.13076991560037,5,1,0
33,81.03337833109184,4,0,1
24,91.61506742231936,7,0,1
15,47.262400073353376,1,1,0
30,61.354910152535155,3,1,0
17,32.18860933369476,7,1,0
5,38.11493495346803,5,0,1
29,88.11178539649828,0,0,0
4,38.143834769562694,3,1,0
10,72.51633836670602,0,0,0
17,90.90462617224327,1,0,1
10,30.687692309474382,4,1,0
17,76.73122196289036,7,1,0
20,45.65627837013638,7,0,0
24,116.29268752375798,2,0,1
5,68.35456467199248,3,1,0
34,100.59925497751581,9,0,1
6,75.02265421562618,5,0,0
2,24.341253285481915,9,1,1
13,83.31513755940223,2,1,0
11,115.14033422066571,1,0,0
23,80.16118201463311,5,0,0
16,101.91888594267903,4,0,1
31,108.42064633484078,9,1,1
11,42.80797719489325,4,0,0
16,41.204483990822666,9,0,1
8,81.09809888509918,4,1,0
4,61.10284698067047,9,1,0
4,103.98613028667204,4,0,0
25,110.00231233980112,2,1,0
3,55.34213793027181,6,1,1
32,43.687055897448204,5,0,0
3,98.05255152438619,3,1,0
27,47.48060355481361,1,1,0
29,102.26143185136785,8,0,1
32,62.37382536487628,0,1,0
19,86.75498992914704,3,0,1
21,29.55353138346682,0,0,0
5,82.3859324676573,5,1,0
18,65.17676787372291,3,1,1
28,78.66084631754741,4,1,0
22,36.801420774486346,4,0,0
21,93.68737449441821,8,1,0
6,106.27970775432286,0,0,0
1,41.67398000907757,1,1,0
5,29.57145555201617,5,1,0
12,22.36385860463364,4,1,0
26,84.1971500443266,6,0,1
34,80.70940360887808,2,1,0
14,74.669741271407,2,1,0
26,43.19470961159754,9,0,1
27,59.09059959055147,1,0,0
9,79.44763351861731,2,1,1
26,69.67668588591694,9,1,0
22,118.77855202148874,0,1,0
30,33.64397525567331,4,0,0
17,89.51445540475937,4,0,0
26,60.431876810429216,6,0,0
1,62.819961492561475,3,0,1
8,91.75977656581762,2,1,0
35,89.24361513243696,0,0,0
15,119.12559937021884,7,0,1
22,32.83942894541252,2,0,0
14,30.410964938416633,1,1,0
26,92.43388171287411,3,1,1
28,77.83869170064091,2,0,0
23,47.416066655980586,0,0,0
14,27.94193689889866,2,1,0
24,28.565824959643052,1,1,0
2,109.41908746641182,7,1,1
26,39.18673247187429,5,1,0
14,52.33715621155208,8,1,1
7,42.665640222698805,7,1,0
3,55.49963058319373,9,1,1
23,26.94238427460934,2,1,0
18,71.90597909082703,4,0,0
35,26.76125635922149,6,0,0
15,100.03565078223616,4,0,1
25,43.3712081910433,7,0,0
28,74.00119146045105,4,0,1
10,108.00790875614582,0,0,1
17,85.08773690471942,4,1,0
22,73.29577865513353,3,1,0
26,52.43337531153756,5,0,0
25,53.300191305819794,2,0,0
17,86.94869551981901,4,1,0
13,119.41393612211675,1,1,0
20,86.18391898493786,5,1,0
25,75.77834173700249,5,0,1
4,93.06505102392461,4,1,0
10,66.52056122837182,5,0,1
3,26.01423426007852,6,0,0
18,76.22968158779098,4,1,0
22,115.76252845053801,0,1,0
34,37.530294235765965,7,0,1
8,89.00048908206658,3,1,1
19,40.093368865905646,8,1,1
6,73.58276844730813,9,0,1
26,29.66764496467196,5,1,0
34,65.03709362581851,0,0,0
6,95.61633288952461,2,0,1
33,54.757152423898205,2,1,0
22,86.4911724487218,9,0,1
21,99.54499607897291,3,0,0
6,112.71778194794527,5,1,0
6,43.46420818554535,6,1,0
4,59.931591580930814,9,1,1
30,35.24160133304174,3,0,0
11,119.24835021583752,5,0,1
30,112.70009679242953,0,1,0
31,73.99571302805596,7,0,1
24,104.20332943764213,6,1,1
9,72.09579772720421,8,1,0
3,82.35856880027598,2,0,0
31,28.912443211601662,1,1,0
24,95.52704204968079,0,0,0
31,32.77134836352348,2,0,0
6,102.60676302525283,4,1,1
2,98.20280876703859,1,0,0
20,90.87446977429764,2,1,0
28,23.616038052476213,3,0,0
11,50.312835594532864,6,0,0
4,46.311256991084285,2,0,0
15,56.01364074715191,8,1,1
6,28.764274676383856,7,0,0
30,113.69578230310628,3,1,1
2,75.38022407123762,0,0,1
15,50.55243106580235,0,0,0
11,59.698151707428345,0,1,0
8,64.72025405048356,0,1,0
26,80.05943333606173,7,1,0
5,71.56794276964978,2,1,0
6,111.93919732144174,5,1,1
26,69.69634829058303,2,0,0
4,119.21580148233127,4,0,1
19,105.14249577450957,6,1,1
20,40.85105143573358,1,0,1
33,113.05952146439162,5,0,0
20,31.63663978854761,5,0,1
12,101.74497084911916,2,1,0
1,58.06232934765801,5,0,1
26,107.79743204450695,9,0,1
14,106.80566901074504,9,0,1
11,100.59254001176211,4,1,0
13,99.00304363070614,1,0,0
3,50.46791390980408,8,0,1
33,28.09192830512522,7,1,0
6,60.29801787651615,2,1,0
10,37.352451498650865,7,0,1
5,89.49510889024617,8,0,1
23,54.609972653778556,2,1,1
10,117.56102008599149,2,1,1
2,84.0972077345332,1,1,0
13,102.24805636343609,7,1,1
2,33.252467274184845,9,1,0
20,106.20144822726226,0,1,0
1,112.27571905133944,7,1,1
9,68.70619188189359,6,0,1
17,80.62529377509775,6,1,1
9,96.48098009029954,2,1,0
11,37.48386272604125,0,0,0
15,70.25660764634424,3,1,0
24,59.86630277723131,8,1,1
35,34.637399216224914,4,0,0
30,56.753442229153144,0,1,0
31,26.817230938549358,4,0,1
5,22.5811906949487,7,0,1
14,33.51662891548228,7,0,1
11,116.31151115891738,4,0,1
9,74.9529535895017,8,1,1
34,116.582216115322,0,0,0
12,63.2497878330132,3,0,0
35,51.181613308525954,2,1,0
35,70.61418628402441,1,0,0
1,63.95116886329101,7,0,1
22,30.566468426174392,6,0,0
29,84.08263146902063,8,0,1
8,41.60381825095996,1,1,0
11,81.95879548978296,3,0,0
14,85.02010923981534,5,1,1
30,35.20248531286481,2,1,0
35,26.134962711066816,7,0,1
21,98.07615860684398,2,0,0
5,65.98004237693202,1,0,0
19,25.81637955054758,2,0,0
14,119.48663171697672,5,1,1
26,25.778056099636665,1,1,0
4,89.50352288585532,7,1,1
25,118.36789252634136,0,0,0
25,43.91801042159256,6,1,0
18,34.22493686871962,1,0,0
8,32.13849394224289,9,0,1
14,50.327514756759555,5,0,0
32,30.104581101064667,1,0,0
33,89.2161341694132,1,0,0
23,26.22917981300627,9,1,1
15,70.94221281497897,7,1,1
33,119.66968538529768,1,0,0
25,101.39702695060188,6,1,1
17,81.52194382310108,2,0,1
33,50.62536207866117,7,0,0
2,82.38958362916385,6,0,0
14,72.70414639116517,7,1,0
6,62.60833838903715,6,0,1
6,33.07103767401995,5,0,0
3,108.66042152404667,6,1,1
7,64.97846488213226,4,1,1
8,39.46225118207651,6,1,0
15,56.77593508772896,0,0,0
29,61.4129752528927,0,0,0
33,102.75378955668742,8,1,1
30,93.3614380561402,4,0,0
27,96.93048936413398,4,1,1
29,21.10312644286472,2,1,0
33,61.615399817976154,4,0,0
27,68.13441516353237,2,0,1
33,21.919227682305667,8,1,1
4,45.981320874503425,8,1,1
22,96.0289823122135,5,1,0
2,33.7109705728999,0,1,0
10,73.53101314525917,6,0,1
5,41.52018720172375,6,1,0
10,21.212077464389328,9,1,0
33,44.12014575995415,9,1,0
13,117.58737549100537,3,0,1
31,100.15371118829896,7,0,1
24,115.95766443210334,5,1,0
15,68.78540439263624,3,0,0
29,30.97361986775035,3,0,0
8,74.7959488973693,1,0,1
5,65.43773345599608,1,1,0
29,104.4357082739616,3,1,0
4,29.80825807842446,4,0,1
12,68.82411370217781,7,1,1
2,35.00486646939842,5,1,0
27,52.467592689006,3,0,0
31,93.73570773877996,6,0,1
26,67.60181293687666,7,1,0
27,57.58882851457693,1,0,0
5,59.44762785700353,6,1,1
20,65.94467684059866,1,1,0
11,98.50165438370568,1,0,0
10,109.20846889402344,7,1,0
6,115.53346865039283,1,1,0
8,98.6903386255295,8,0,1
23,51.54068957480127,0,0,0
26,88.81347060865421,8,0,1
12,63.760312405539196,0,1,0
26,45.46706220460512,9,0,0
13,104.08715794259226,9,0,1
18,23.8426348962325,1,0,0
25,110.17619921354235,5,0,0
33,66.14774646247342,5,1,0
12,83.72014768082805,0,1,0
4,85.93539222057827,6,0,1
5,109.51177407065364,7,1,1
8,83.66696821672073,1,0,0
28,81.39335847600617,7,0,1
31,26.665204056068998,8,1,1
9,71.8408021945204,5,1,0
29,35.016900081704165,4,0,0
14,93.74337687214856,8,0,1
22,71.22219208126745,8,1,0
11,88.02277792083532,0,0,0
23,24.167290060238425,2,1,0
1,28.47920160458032,8,0,1
21,91.63233880626822,1,0,0
26,27.208433599867337,3,1,0
